ORDEM;VENDA_ID;VENDA_DATA;VENDA_ANO;VENDA_MES;VENDA_STATUS;VENDA_TAMANHO;VENDA_PEDIDO;VENDA_ITEM;VENDA_QTDE;VENDA_TOTAL;PRECO_UNITARIO;PRECO_SUGERIDO;PRODUTO_CODIGO;PRODUTO_LINHA;CLIENTE_CODIGO;CLIENTE_NOME;CLIENTE_FONE;CLIENTE_ENDERECO;CLIENTE_COMPLEMENTO;CLIENTE_CIDADE;CLIENTE_ESTADO;CLIENTE_PAIS;CLIENTE_TERRITORIO;CONTATO_NOME;CONTATO_SOBRENOME
1;10107;2/24/2003;2003;2;Enviado;Pequeno;1;2;30;2871;95.7;95;S10_1678;Motocicletas;C10022;Land of Toys Inc.;F.2125557818;897 Long Airport Avenue;;NYC;NY;Estados Unidos;América do Norte;Kwai;Yu
2;10121;05/07/2003;2003;5;Enviado;Pequeno;2;5;34;2765.9;81.35;95;S10_1678;Motocicletas;C51100;Reims Collectables;F.26.47.1555;59 rue de l'Abbaye;;Reims;;França;Europa, Oriente Médio e África;Paul;Henriot
3;10134;07/01/2003;2003;7;Enviado;Médio;3;2;41;3884.34;94.74;95;S10_1678;Motocicletas;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
4;10145;8/25/2003;2003;8;Enviado;Médio;3;6;45;3746.7;83.26;95;S10_1678;Motocicletas;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
5;10159;10/10/2003;2003;10;Enviado;Médio;4;14;49;5205.27;100;95;S10_1678;Motocicletas;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
6;10168;10/28/2003;2003;10;Enviado;Médio;4;1;36;3479.76;96.66;95;S10_1678;Motocicletas;C94217;Technics Stores Inc.;F.6505556809;9408 Furth Circle;;Burlingame;CA;Estados Unidos;América do Norte;Juri;Hirano
7;10180;11/11/2003;2003;11;Enviado;Pequeno;4;9;29;2497.77;86.13;95;S10_1678;Motocicletas;C59000;Daedalus Designs Imports;F.20.16.1555;184, chausse de Tournai;;Lille;;França;Europa, Oriente Médio e África;Martine;Rance
8;10188;11/18/2003;2003;11;Enviado;Médio;4;1;48;5512.32;100;95;S10_1678;Motocicletas;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
9;10201;12/01/2003;2003;12;Enviado;Pequeno;4;2;22;2168.54;98.57;95;S10_1678;Motocicletas;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
10;10211;1/15/2004;2004;1;Enviado;Médio;1;14;41;4708.44;100;95;S10_1678;Motocicletas;C75016;Auto Canal Petit;F.(1) 47.55.6555;25, rue Lauriston;;Paris;;França;Europa, Oriente Médio e África;Dominique;Perrier
